Province,ProvinceName,ProvinceNameEn,TextTable,TextName,RegionId
14,พระนครศรีอยุธยา,Ayudhaya,csi_price_central_web_avg,unit_code_C,1
15,อ่างทอง,Angtong,csi_price_central_web_avg,unit_code_C,1
16,ลพบุรี,Lopburi,csi_price_central_web_avg,unit_code_C,1
17,สิงห์บุรี,Singhaburi,csi_price_central_web_avg,unit_code_C,1
18,ชัยนาท,Chainat,csi_price_central_web_avg,unit_code_C,1
19,สระบุรี,Saraburi,csi_price_central_web_avg,unit_code_C,1
20,ชลบุรี,Chonburi,csi_price_central_web_avg,unit_code_C,1
21,ระยอง,Rayong,csi_price_central_web_avg,unit_code_C,1
22,จันทบุรี,Chantaburi,csi_price_central_web_avg,unit_code_C,1
23,ตราด,Trat,csi_price_central_web_avg,unit_code_C,1
24,ฉะเชิงเทรา,Chachaengtao,csi_price_central_web_avg,unit_code_C,1
25,ปราจีนบุรี,Prachinburi,csi_price_central_web_avg,unit_code_C,1
26,นครนายก,Nakhon-Nayok,csi_price_central_web_avg,unit_code_C,1
27,สระแก้ว,Srakaew,csi_price_central_web_avg,unit_code_C,1
70,ราชบุรี,Rachaburi,csi_price_central_web_avg,unit_code_C,1
71,กาญจนบุรี,Kanchanaburi,csi_price_central_web_avg,unit_code_C,1
72,สุพรรณบุรี,Supuanburi,csi_price_central_web_avg,unit_code_C,1
73,นครปฐม,Nakhonpathom,csi_price_central_web_avg,unit_code_C,1
74,สมุทรสาคร,Samutsakorn,csi_price_central_web_avg,unit_code_C,1
75,สมุทรสงคราม,Samutsongkram,csi_price_central_web_avg,unit_code_C,1
76,เพชรบุรี,Petchaburi,csi_price_central_web_avg,unit_code_C,1
77,ประจวบคีรีขันธ์,Prachuab-Kirikhan,csi_price_central_web_avg,unit_code_C,1
30,นครราชสีมา,Nakhon-Ratchasima,csi_price_en_web_avg,unit_code_E,2
31,บุรีรัมย์,Buriram,csi_price_en_web_avg,unit_code_E,2
32,สุรินทร์,Surin,csi_price_en_web_avg,unit_code_E,2
33,ศรีสะเกษ,Srisaket,csi_price_en_web_avg,unit_code_E,2
34,อุบลราชธานี,Ubonratchathani,csi_price_en_web_avg,unit_code_E,2
35,ยโสธร,Yasothorn,csi_price_en_web_avg,unit_code_E,2
36,ชัยภูมิ,Chaiyabhumi,csi_price_en_web_avg,unit_code_E,2
37,อำนาจเจริญ,Amnart-Charoen,csi_price_en_web_avg,unit_code_E,2
38,บึงกาฬ,Buengkan,csi_price_en_web_avg,unit_code_E,2
39,หนองบัวลำภู,Nongbua-Lumpu,csi_price_en_web_avg,unit_code_E,2
40,ขอนแก่น,Khonkaen,csi_price_en_web_avg,unit_code_E,2
41,อุดรธานี,Udonthani,csi_price_en_web_avg,unit_code_E,2
42,เลย,Laei,csi_price_en_web_avg,unit_code_E,2
43,หนองคาย,Nongkai,csi_price_en_web_avg,unit_code_E,2
44,มหาสารคาม,Maha-Sarakham,csi_price_en_web_avg,unit_code_E,2
45,ร้อยเอ็ด,Roied,csi_price_en_web_avg,unit_code_E,2
46,กาฬสินธุ์,Kanlasin,csi_price_en_web_avg,unit_code_E,2
47,สกลนคร,Sakol-Nakorn,csi_price_en_web_avg,unit_code_E,2
48,นครพนม,Nakorn-Panom,csi_price_en_web_avg,unit_code_E,2
49,มุกดาหาร,Mookdahan,csi_price_en_web_avg,unit_code_E,2
50,เชียงใหม่,Chaingmai,csi_price_north_web_avg,unit_code_N,3
51,ลำพูน,Lampoon,csi_price_north_web_avg,unit_code_N,3
52,ลำปาง,Lampang,csi_price_north_web_avg,unit_code_N,3
53,อุตรดิตถ์,Uttradit,csi_price_north_web_avg,unit_code_N,3
54,แพร่,Prae,csi_price_north_web_avg,unit_code_N,3
55,น่าน,Nan,csi_price_north_web_avg,unit_code_N,3
56,พะเยา,Payao,csi_price_north_web_avg,unit_code_N,3
57,เชียงราย,Chiangrai,csi_price_north_web_avg,unit_code_N,3
58,แม่ฮ่องสอน,Mae-Hongson,csi_price_north_web_avg,unit_code_N,3
60,นครสวรรค์,Nakorn-Sawan,csi_price_north_web_avg,unit_code_N,3
61,อุทัยธานี,Uthaithani,csi_price_north_web_avg,unit_code_N,3
62,กำแพงเพชร,Kampang-Petch,csi_price_north_web_avg,unit_code_N,3
63,ตาก,Tak,csi_price_north_web_avg,unit_code_N,3
64,สุโขทัย,Sukhothai,csi_price_north_web_avg,unit_code_N,3
65,พิษณุโลก,Phittsanulok,csi_price_north_web_avg,unit_code_N,3
66,พิจิตร,Pijit,csi_price_north_web_avg,unit_code_N,3
67,เพชรบูรณ์,Petchabul,csi_price_north_web_avg,unit_code_N,3
80,นครศรีธรรมราช,Nakorn-Sri-Thammarat,csi_price_south_web_avg,unit_code_S,4
81,กระบี่,Krabi,csi_price_south_web_avg,unit_code_S,4
82,พังงา,Pangnga,csi_price_south_web_avg,unit_code_S,4
83,ภูเก็ต,Phuket,csi_price_south_web_avg,unit_code_S,4
84,สุราษฎร์ธานี,Surathani,csi_price_south_web_avg,unit_code_S,4
85,ระนอง,Ranong,csi_price_south_web_avg,unit_code_S,4
86,ชุมพร,Chumpon,csi_price_south_web_avg,unit_code_S,4
90,สงขลา,Songkhla,csi_price_south_web_avg,unit_code_S,4
91,สตูล,Satool,csi_price_south_web_avg,unit_code_S,4
92,ตรัง,Trang,csi_price_south_web_avg,unit_code_S,4
93,พัทลุง,Pattalung,csi_price_south_web_avg,unit_code_S,4
94,ปัตตานี,Pattani,csi_price_south_web_avg,unit_code_S,4
95,ยะลา,Yala,csi_price_south_web_avg,unit_code_S,4
96,นราธิวาส,Narathivas,csi_price_south_web_avg,unit_code_S,4
